#DI	CV	ERP	WL	BCL	APD90	APD-73mV
1.128	761.035	0.178	135.464	1.3	0.172	0.182
1.025	759.301	0.177	134.396	1.197	0.172	0.181
0.939	757.576	0.177	134.091	1.11	0.171	0.181
0.863	756.430	0.176	133.132	1.034	0.171	0.180
0.798	756.430	0.175	132.375	0.968	0.170	0.180
0.741	755.287	0.175	132.175	0.91	0.169	0.179
0.69	753.580	0.174	131.123	0.858	0.168	0.178
0.645	753.012	0.173	130.271	0.813	0.168	0.177
0.604	753.012	0.172	129.518	0.771	0.167	0.176
0.568	751.880	0.172	129.323	0.734	0.166	0.175
0.534	750.751	0.171	128.378	0.7	0.166	0.175
0.504	750.188	0.170	127.532	0.669	0.165	0.174
0.477	749.625	0.170	127.436	0.641	0.164	0.173
0.452	748.503	0.169	126.497	0.615	0.163	0.172
0.428	747.943	0.168	125.654	0.591	0.163	0.172
0.407	747.943	0.168	125.654	0.569	0.162	0.171
0.386	745.712	0.167	124.534	0.548	0.162	0.171
0.368	745.156	0.167	124.441	0.529	0.161	0.170
0.35	744.048	0.166	123.512	0.511	0.161	0.170
0.335	743.494	0.166	123.420	0.495	0.160	0.169
0.319	743.494	0.166	123.420	0.479	0.160	0.169
0.305	741.840	0.165	122.404	0.464	0.159	0.168
0.291	741.840	0.165	122.404	0.45	0.159	0.168
0.278	739.645	0.164	121.302	0.437	0.159	0.168
0.267	740.192	0.164	121.391	0.425	0.158	0.168
0.256	738.552	0.164	121.123	0.414	0.158	0.167
0.246	738.552	0.164	121.123	0.403	0.157	0.167
0.235	736.377	0.163	120.029	0.392	0.157	0.167
0.225	735.835	0.163	119.941	0.382	0.157	0.167
0.217	735.294	0.163	119.853	0.373	0.156	0.167
0.208	732.601	0.162	118.681	0.364	0.156	0.166
0.199	732.601	0.162	118.681	0.355	0.156	0.166
0.192	731.529	0.162	118.508	0.347	0.155	0.166
0.185	730.460	0.162	118.335	0.34	0.155	0.166
0.177	728.863	0.161	117.347	0.332	0.155	0.166
0.171	727.802	0.161	117.176	0.325	0.154	0.165
0.164	727.802	0.161	117.176	0.318	0.154	0.165
0.158	726.216	0.161	116.921	0.312	0.154	0.165
0.152	724.638	0.160	115.942	0.305	0.153	0.165
0.146	723.066	0.160	115.691	0.299	0.153	0.165
0.142	721.501	0.160	115.440	0.294	0.152	0.164
0.136	719.942	0.159	114.471	0.288	0.152	0.164
0.131	718.391	0.159	114.224	0.283	0.152	0.164
0.126	717.360	0.159	114.060	0.277	0.151	0.163
0.121	714.796	0.158	112.938	0.272	0.151	0.163
0.118	713.267	0.158	112.696	0.268	0.150	0.163
0.113	710.732	0.158	112.296	0.263	0.150	0.163
0.109	708.717	0.158	111.977	0.259	0.150	0.162
0.105	706.215	0.157	110.876	0.254	0.149	0.162
