#DI	CV	ERP	WL	BCL	APD90	APD-73mV
1.047	758.150	0.227	172.100	1.3	0.253	0.334
0.945	758.725	0.226	171.472	1.197	0.252	0.332
0.859	757.002	0.225	170.325	1.11	0.251	0.331
0.785	755.858	0.224	169.312	1.034	0.249	0.329
0.72	755.858	0.223	168.556	0.968	0.248	0.327
0.663	755.287	0.221	166.918	0.91	0.247	0.325
0.613	754.717	0.220	166.038	0.858	0.245	0.323
0.569	753.012	0.219	164.910	0.813	0.244	0.321
0.529	751.880	0.217	163.158	0.771	0.242	0.320
0.493	750.751	0.216	162.162	0.734	0.241	0.318
0.461	749.625	0.215	161.169	0.7	0.239	0.316
0.431	747.943	0.213	159.312	0.669	0.238	0.315
0.404	747.384	0.212	158.445	0.641	0.237	0.313
0.379	745.712	0.211	157.345	0.615	0.236	0.311
0.356	745.156	0.210	156.483	0.591	0.235	0.310
0.335	743.494	0.209	155.390	0.569	0.234	0.308
0.315	741.840	0.208	154.303	0.548	0.233	0.307
0.297	739.645	0.207	153.107	0.529	0.232	0.306
0.28	738.007	0.206	152.029	0.511	0.231	0.304
0.265	736.920	0.205	151.069	0.495	0.230	0.303
0.25	734.754	0.205	150.625	0.479	0.229	0.302
0.237	732.064	0.204	149.341	0.464	0.227	0.301
0.224	731.529	0.203	148.500	0.45	0.226	0.299
0.212	728.332	0.203	147.851	0.437	0.225	0.298
0.201	726.744	0.202	146.802	0.425	0.224	0.297
0.191	725.163	0.202	146.483	0.414	0.223	0.296
0.181	723.066	0.201	145.336	0.403	0.222	0.294
0.172	720.981	0.200	144.196	0.392	0.220	0.293
0.163	718.391	0.200	143.678	0.382	0.219	0.292
0.156	715.820	0.199	142.448	0.373	0.217	0.291
0.148	713.776	0.198	141.328	0.364	0.216	0.290
0.14	710.732	0.198	140.725	0.355	0.215	0.289
0.134	707.714	0.197	139.420	0.347	0.213	0.288
0.128	703.730	0.197	138.635	0.34	0.212	0.287
0.122	700.280	0.196	137.255	0.332	0.210	0.286
0.116	696.379	0.196	136.490	0.325	0.209	0.285
0.111	692.521	0.195	135.042	0.318	0.207	0.284
0.106	687.758	0.195	134.113	0.312	0.206	0.284
0.101	681.663	0.195	132.924	0.305	0.204	0.283
0.096	676.590	0.194	131.258	0.299	0.203	0.283
0.092	672.495	0.194	130.464	0.294	0.202	0.282
